Frequency (Hz)	Level (dB)
70.800781	-77.733986
71.044922	-78.917259
71.289062	-79.744316
71.533203	-78.309509
71.777344	-80.737656
72.021484	-78.364990
72.265625	-77.429985
72.509766	-78.202957
72.753906	-77.491631
72.998047	-81.185448
73.242188	-76.526443
73.486328	-75.617599
73.730469	-72.965012
73.974609	-76.226616
74.218750	-78.477753
74.462891	-74.932938
74.707031	-74.926811
74.951172	-78.071632
75.195312	-78.101883
75.439453	-76.017212
75.683594	-77.271065
75.927734	-78.145126
76.171875	-77.113358
76.416016	-78.204445
76.660156	-75.879028
76.904297	-76.605515
77.148438	-74.611443
77.392578	-71.835251
77.636719	-76.515282
77.880859	-80.169960
78.125000	-79.378426
78.369141	-78.182091
78.613281	-76.590584
78.857422	-75.429794
79.101562	-80.828773
79.345703	-76.766762
79.589844	-78.597519
79.833984	-79.507217
80.078125	-82.753807
80.322266	-80.535294
80.566406	-77.879639
80.810547	-77.440361
81.054688	-81.717789
81.298828	-80.566444
81.542969	-83.078865
81.787109	-82.200935
82.031250	-83.212746
82.275391	-78.206909
82.519531	-78.357826
82.763672	-77.266609
83.007812	-79.300499
83.251953	-79.351898
83.496094	-75.560295
83.740234	-75.793015
83.984375	-79.753967
84.228516	-76.342270
84.472656	-79.488403
84.716797	-75.003220
84.960938	-77.898125
85.205078	-76.025871
85.449219	-79.555527
85.693359	-77.199951
85.937500	-76.612488
86.181641	-80.721016
86.425781	-78.136978
86.669922	-80.007957
86.914062	-79.543846
87.158203	-74.253654
87.402344	-76.432343
87.646484	-75.322189
87.890625	-76.104881
88.134766	-78.815544
88.378906	-80.862892
88.623047	-76.201172
88.867188	-79.190620
89.111328	-79.970016
89.355469	-76.852913
89.599609	-75.998512
89.843750	-75.965767
90.087891	-79.720772
90.332031	-78.059753
90.576172	-79.795036
90.820312	-80.955338
91.064453	-75.603226
91.308594	-75.592857
91.552734	-79.597412
91.796875	-77.851151
92.041016	-83.226624
92.285156	-80.157654
92.529297	-77.827309
92.773438	-85.907158
93.017578	-81.970474
93.261719	-78.625679
93.505859	-77.657265
93.750000	-76.175407
93.994141	-82.468552
94.238281	-80.158020
94.482422	-80.202698
94.726562	-86.049698
94.970703	-79.209175
95.214844	-79.507980
95.458984	-79.372963
95.703125	-82.000275
95.947266	-78.097939
96.191406	-77.231613
96.435547	-81.384613
96.679688	-80.375778
96.923828	-80.566414
97.167969	-76.460388
97.412109	-85.492516
97.656250	-81.254135
97.900391	-81.953255
98.144531	-80.003410
98.388672	-78.643013
98.632812	-84.317535
98.876953	-81.221649
99.121094	-84.089149
99.365234	-80.610970
99.609375	-86.584381
99.853516	-84.047005
100.097656	-85.890678
100.341797	-81.266113
100.585938	-81.904343
100.830078	-81.807060
101.074219	-83.041351
101.318359	-80.856239
101.562500	-79.059898
101.806641	-79.558441
102.050781	-77.056999
102.294922	-83.840408
