Frequency (Hz)	Level (dB)
70.800781	-80.548172
71.044922	-74.926613
71.289062	-75.865829
71.533203	-80.744637
71.777344	-79.486534
72.021484	-78.834465
72.265625	-81.776894
72.509766	-77.944199
72.753906	-78.566612
72.998047	-77.838623
73.242188	-76.076683
73.486328	-76.358253
73.730469	-75.764923
73.974609	-79.833252
74.218750	-79.121208
74.462891	-74.715340
74.707031	-75.506065
74.951172	-77.915894
75.195312	-77.044220
75.439453	-78.375999
75.683594	-76.651215
75.927734	-81.960228
76.171875	-78.429520
76.416016	-78.456581
76.660156	-78.774391
76.904297	-79.058289
77.148438	-73.974075
77.392578	-78.260651
77.636719	-79.351830
77.880859	-78.662628
78.125000	-77.362396
78.369141	-78.725021
78.613281	-79.329865
78.857422	-79.389267
79.101562	-77.558128
79.345703	-79.184624
79.589844	-82.169617
79.833984	-81.903297
80.078125	-80.381935
80.322266	-79.999916
80.566406	-80.859192
80.810547	-78.661751
81.054688	-82.523781
81.298828	-83.415459
81.542969	-82.721024
81.787109	-80.241943
82.031250	-81.867241
82.275391	-82.125160
82.519531	-79.333862
82.763672	-81.270706
83.007812	-79.139503
83.251953	-75.327286
83.496094	-75.531937
83.740234	-76.913284
83.984375	-77.966469
84.228516	-78.062149
84.472656	-79.441711
84.716797	-77.420624
84.960938	-75.774124
85.205078	-77.379662
85.449219	-81.277817
85.693359	-83.940918
85.937500	-77.910995
86.181641	-78.922852
86.425781	-74.152359
86.669922	-77.377647
86.914062	-77.093307
87.158203	-73.468010
87.402344	-75.650909
87.646484	-74.554794
87.890625	-77.794968
88.134766	-80.586807
88.378906	-79.811172
88.623047	-79.016640
88.867188	-81.083107
89.111328	-75.172386
89.355469	-77.211288
89.599609	-79.629013
89.843750	-78.427635
90.087891	-74.851280
90.332031	-76.938095
90.576172	-81.081688
90.820312	-76.038757
91.064453	-77.916359
91.308594	-77.089104
91.552734	-78.777802
91.796875	-74.166725
92.041016	-77.298172
92.285156	-77.647766
92.529297	-81.523666
92.773438	-82.261383
93.017578	-84.300392
93.261719	-82.959976
93.505859	-81.803596
93.750000	-80.802032
93.994141	-78.934944
94.238281	-83.188782
94.482422	-81.994339
94.726562	-83.399170
94.970703	-81.235786
95.214844	-82.727562
95.458984	-81.001884
95.703125	-81.447601
95.947266	-81.392159
96.191406	-82.312431
96.435547	-82.420876
96.679688	-82.955963
96.923828	-76.678024
97.167969	-80.763367
97.412109	-84.367500
97.656250	-85.126175
97.900391	-81.956314
98.144531	-80.835632
98.388672	-77.326782
98.632812	-84.187332
98.876953	-83.329460
99.121094	-86.704903
99.365234	-81.974663
99.609375	-81.805016
99.853516	-82.297234
100.097656	-84.153969
100.341797	-81.441841
100.585938	-82.988853
100.830078	-82.528419
101.074219	-81.421539
101.318359	-83.199142
101.562500	-80.899040
101.806641	-79.810463
102.050781	-77.942764
102.294922	-84.105034
102.539062	-82.271690
102.783203	-79.801651
103.027344	-77.772247
103.271484	-80.637573
103.515625	-78.059326
103.759766	-77.416809
104.003906	-80.772751
104.248047	-81.305832
104.492188	-78.771812
104.736328	-76.276672
