Frequency (Hz)	Level (dB)
141.601562	-57.042568
142.089844	-56.585270
142.578125	-57.236122
143.066406	-57.294121
143.554688	-57.832951
144.042969	-57.685196
144.531250	-58.142899
145.019531	-56.297337
145.507812	-57.795746
145.996094	-56.974361
146.484375	-56.934822
146.972656	-55.616150
147.460938	-55.533291
147.949219	-56.701107
148.437500	-59.142555
148.925781	-56.851902
149.414062	-58.637241
149.902344	-56.625168
150.390625	-56.026169
150.878906	-58.329155
151.367188	-56.600952
151.855469	-58.879963
152.343750	-59.743362
152.832031	-57.263435
153.320312	-54.844044
153.808594	-56.494572
154.296875	-59.066509
154.785156	-58.773556
155.273438	-58.586029
155.761719	-58.235859
156.250000	-57.840408
156.738281	-57.544357
157.226562	-61.983372
157.714844	-60.081230
158.203125	-56.195740
158.691406	-57.406654
159.179688	-57.786411
159.667969	-56.748837
160.156250	-58.163887
160.644531	-59.905239
161.132812	-59.107162
161.621094	-56.895206
162.109375	-56.814186
162.597656	-61.920109
163.085938	-59.442474
163.574219	-58.047596
164.062500	-57.570854
164.550781	-57.841110
165.039062	-58.093746
165.527344	-56.116173
166.015625	-54.930450
166.503906	-56.155762
166.992188	-56.972233
167.480469	-56.666451
167.968750	-55.879345
168.457031	-57.002369
168.945312	-58.562843
169.433594	-58.009197
169.921875	-56.885880
170.410156	-58.880165
170.898438	-58.995712
171.386719	-57.052212
171.875000	-60.302135
172.363281	-58.406929
172.851562	-58.177906
173.339844	-60.433212
173.828125	-58.624180
174.316406	-56.656616
174.804688	-58.451244
175.292969	-58.839741
175.781250	-57.865341
176.269531	-60.030895
176.757812	-59.300476
177.246094	-60.015587
177.734375	-60.351101
178.222656	-60.218216
178.710938	-58.300674
179.199219	-57.559250
179.687500	-56.774776
180.175781	-57.076118
180.664062	-59.903900
181.152344	-59.584209
181.640625	-56.404118
182.128906	-59.275730
182.617188	-60.306396
183.105469	-57.706505
183.593750	-60.280750
184.082031	-61.901569
184.570312	-60.225964
185.058594	-59.436863
185.546875	-58.206631
186.035156	-61.355862
186.523438	-58.125813
187.011719	-64.279999
187.500000	-60.377857
187.988281	-62.283607
188.476562	-59.693691
188.964844	-59.441730
189.453125	-59.620869
189.941406	-58.775185
190.429688	-59.231373
190.917969	-59.780956
191.406250	-59.026970
191.894531	-60.324112
192.382812	-62.159771
192.871094	-62.331413
193.359375	-62.465790
193.847656	-58.849121
194.335938	-60.511356
194.824219	-61.221836
195.312500	-61.145275
195.800781	-60.193272
196.289062	-58.685421
196.777344	-61.136108
197.265625	-59.720367
197.753906	-58.302250
198.242188	-60.798893
198.730469	-60.507900
199.218750	-65.416222
199.707031	-62.769840
200.195312	-60.621628
200.683594	-59.517288
201.171875	-61.851856
201.660156	-64.464554
202.148438	-61.802868
202.636719	-62.752350
203.125000	-60.759613
203.613281	-63.512196
204.101562	-61.224255
204.589844	-62.976967
205.078125	-64.806763
205.566406	-61.546425
206.054688	-61.396042
206.542969	-62.421879
207.031250	-62.323143
207.519531	-63.198654
208.007812	-60.631218
208.496094	-62.418201
208.984375	-63.803978
209.472656	-64.715363
209.960938	-65.829720
210.449219	-63.544590
210.937500	-62.587063
211.425781	-66.378403
211.914062	-60.675381
212.402344	-63.188782
212.890625	-60.348110
213.378906	-64.358994
213.867188	-63.658070
214.355469	-62.867569
214.843750	-65.460648
215.332031	-61.524815
215.820312	-65.151749
216.308594	-67.430298
216.796875	-63.404091
217.285156	-64.369438
217.773438	-66.030876
218.261719	-61.953693
218.750000	-64.982597
219.238281	-63.268597
219.726562	-60.578411
220.214844	-60.799664
220.703125	-62.728973
221.191406	-62.766754
221.679688	-64.147285
222.167969	-62.233337
222.656250	-64.711281
223.144531	-64.687050
223.632812	-66.381104
224.121094	-65.932663
224.609375	-64.217514
225.097656	-64.579674
225.585938	-64.763573
226.074219	-65.180702
226.562500	-62.659008
227.050781	-64.095375
227.539062	-65.354736
228.027344	-64.110916
228.515625	-64.947342
229.003906	-66.920486
229.492188	-65.480431
229.980469	-63.584465
230.468750	-63.539032
230.957031	-63.600056
231.445312	-62.664646
231.933594	-62.218067
232.421875	-61.577637
232.910156	-67.245209
233.398438	-63.720135
233.886719	-66.096283
234.375000	-64.402916
234.863281	-67.552017
235.351562	-66.435257
235.839844	-62.981953
236.328125	-64.470169
236.816406	-65.982918
237.304688	-64.856796
237.792969	-63.716572
238.281250	-62.414524
238.769531	-62.835358
239.257812	-63.000477
239.746094	-64.778870
240.234375	-64.805733
240.722656	-62.602474
241.210938	-64.411514
241.699219	-64.434120
242.187500	-65.978249
242.675781	-63.585789
243.164062	-66.184288
243.652344	-65.232887
244.140625	-64.053619
244.628906	-64.711517
245.117188	-65.689575
245.605469	-64.260704
246.093750	-63.104198
246.582031	-64.849487
247.070312	-68.353073
247.558594	-67.856926
248.046875	-65.986710
248.535156	-67.743355
249.023438	-62.392502
249.511719	-63.210686
250.000000	-66.596619
250.488281	-65.103676
250.976562	-64.744240
251.464844	-63.796059
251.953125	-64.162155
252.441406	-66.239754
252.929688	-66.025192
253.417969	-62.751659
253.906250	-64.350830
254.394531	-65.401146
254.882812	-65.752243
255.371094	-63.270012
255.859375	-64.808632
256.347656	-64.726257
256.835938	-63.643669
257.324219	-61.512554
257.812500	-64.200500
258.300781	-66.209610
258.789062	-62.978710
259.277344	-64.516495
259.765625	-65.505188
260.253906	-64.413948
260.742188	-66.034073
261.230469	-65.719711
261.718750	-67.039520
262.207031	-67.189125
262.695312	-64.604645
263.183594	-66.296188
263.671875	-65.424049
264.160156	-63.894436
264.648438	-62.773254
265.136719	-62.613094
265.625000	-64.841042
266.113281	-64.038200
266.601562	-61.881191
267.089844	-64.467285
267.578125	-67.402367
268.066406	-67.178802
268.554688	-63.478600
269.042969	-64.049232
269.531250	-64.288742
270.019531	-66.548775
270.507812	-64.013466
270.996094	-65.034821
271.484375	-65.806885
271.972656	-65.523430
272.460938	-63.074001
272.949219	-64.340919
273.437500	-68.051384
273.925781	-65.576530
274.414062	-66.049889
274.902344	-65.712906
275.390625	-66.688202
275.878906	-65.160957
276.367188	-65.635048
276.855469	-65.086662
277.343750	-69.791252
277.832031	-67.339859
278.320312	-65.580826
278.808594	-65.850739
279.296875	-64.134819
279.785156	-67.704277
280.273438	-67.877769
280.761719	-66.284317
281.250000	-64.288094
281.738281	-67.644524
282.226562	-64.540642
282.714844	-65.358368
283.203125	-66.453033
283.691406	-66.721710
284.179688	-65.572037
284.667969	-66.758560
285.156250	-66.772690
285.644531	-67.862030
286.132812	-68.499519
286.621094	-66.803009
287.109375	-65.630913
287.597656	-66.561684
288.085938	-66.250168
288.574219	-65.863029
289.062500	-69.101265
289.550781	-65.666328
290.039062	-66.424019
290.527344	-68.838799
291.015625	-69.157654
291.503906	-68.313324
291.992188	-68.817482
292.480469	-71.570663
292.968750	-67.868370
293.457031	-67.037750
293.945312	-68.190102
294.433594	-66.490807
294.921875	-68.057541
295.410156	-68.221870
295.898438	-66.251595
296.386719	-68.817223
296.875000	-65.987984
297.363281	-68.249603
297.851562	-68.966194
298.339844	-67.409576
298.828125	-68.727142
299.316406	-70.324623
299.804688	-65.249352
300.292969	-67.234772
300.781250	-68.711777
301.269531	-67.955917
301.757812	-68.695747
302.246094	-68.941322
302.734375	-68.211815
303.222656	-67.308472
303.710938	-67.249664
304.199219	-68.887741
304.687500	-69.034492
305.175781	-69.503258
305.664062	-68.246956
306.152344	-69.059761
306.640625	-69.427986
307.128906	-67.642418
307.617188	-67.931381
308.105469	-69.039001
308.593750	-68.284554
309.082031	-72.021080
309.570312	-69.854652
310.058594	-65.918739
310.546875	-73.093254
311.035156	-67.440132
311.523438	-69.332283
312.011719	-71.376137
312.500000	-70.766037
312.988281	-71.949799
313.476562	-70.050087
313.964844	-69.515541
314.453125	-69.346352
314.941406	-69.616760
315.429688	-71.874855
315.917969	-73.349136
316.406250	-70.148163
316.894531	-71.899231
317.382812	-70.723190
317.871094	-69.828476
318.359375	-70.046677
318.847656	-69.744011
319.335938	-70.943726
319.824219	-70.784790
320.312500	-70.978920
320.800781	-68.736458
321.289062	-70.227547
321.777344	-68.164825
322.265625	-69.409157
322.753906	-71.707397
323.242188	-70.837173
323.730469	-72.429077
324.218750	-69.782158
324.707031	-69.275833
325.195312	-71.713875
325.683594	-69.360565
326.171875	-70.033127
326.660156	-73.122269
327.148438	-72.935410
327.636719	-71.253960
328.125000	-71.635109
328.613281	-70.189018
329.101562	-70.903717
329.589844	-71.689743
330.078125	-74.966904
330.566406	-71.905350
331.054688	-72.674889
331.542969	-71.753448
332.031250	-71.337776
332.519531	-71.573311
333.007812	-70.117462
333.496094	-68.316971
333.984375	-71.417389
334.472656	-71.536179
334.960938	-71.937485
335.449219	-72.593628
335.937500	-71.377022
336.425781	-71.389229
336.914062	-73.168457
337.402344	-72.731133
337.890625	-72.523109
338.378906	-74.216446
338.867188	-71.866783
339.355469	-73.205200
339.843750	-70.923882
340.332031	-69.973724
340.820312	-69.348663
341.308594	-74.524086
341.796875	-71.163261
342.285156	-70.152122
342.773438	-72.317879
343.261719	-70.148438
343.750000	-70.640846
344.238281	-73.762543
344.726562	-74.108040
345.214844	-71.650002
345.703125	-69.095718
346.191406	-71.395721
346.679688	-72.106651
347.167969	-73.361855
347.656250	-71.587860
348.144531	-72.735405
348.632812	-69.295273
349.121094	-73.535927
349.609375	-71.075348
350.097656	-71.715271
350.585938	-70.977089
351.074219	-72.398201
351.562500	-69.822197
352.050781	-71.906479
352.539062	-72.795807
353.027344	-72.283401
353.515625	-70.571526
354.003906	-69.599655
354.492188	-70.641022
354.980469	-71.493477
355.468750	-72.834221
355.957031	-72.849121
356.445312	-71.343925
356.933594	-71.958015
357.421875	-73.012146
357.910156	-73.649345
358.398438	-72.371078
358.886719	-71.300720
359.375000	-73.368034
359.863281	-71.029289
360.351562	-70.846741
360.839844	-72.083954
361.328125	-71.950249
361.816406	-72.685333
362.304688	-70.607033
362.792969	-69.407227
363.281250	-70.435486
363.769531	-70.948860
364.257812	-72.347633
364.746094	-75.111679
365.234375	-73.884483
365.722656	-70.877403
366.210938	-70.593407
366.699219	-72.422073
367.187500	-71.019966
367.675781	-70.144684
368.164062	-71.041359
368.652344	-68.559669
369.140625	-70.644295
369.628906	-71.375191
370.117188	-71.419441
370.605469	-72.384041
371.093750	-71.867661
371.582031	-70.049942
372.070312	-71.074387
372.558594	-70.933311
373.046875	-71.965454
373.535156	-71.003319
374.023438	-69.603699
374.511719	-70.288033
375.000000	-72.311340
375.488281	-71.507050
375.976562	-71.090424
376.464844	-70.368912
376.953125	-71.633141
377.441406	-68.760910
377.929688	-71.245956
378.417969	-70.380005
378.906250	-70.385414
379.394531	-70.914268
379.882812	-70.775604
380.371094	-69.945137
380.859375	-71.036736
381.347656	-71.445358
381.835938	-71.050034
382.324219	-68.929909
382.812500	-69.667000
383.300781	-71.329315
383.789062	-72.973000
384.277344	-69.560257
384.765625	-71.759399
385.253906	-71.174377
385.742188	-72.694954
386.230469	-71.661720
386.718750	-69.970543
387.207031	-70.889008
387.695312	-72.181366
388.183594	-70.712463
388.671875	-71.972145
389.160156	-72.593964
389.648438	-70.436684
390.136719	-71.617874
390.625000	-69.157898
391.113281	-69.922356
391.601562	-69.013344
392.089844	-72.082314
392.578125	-70.394989
393.066406	-72.706116
393.554688	-71.905075
394.042969	-70.571510
394.531250	-70.571228
395.019531	-69.890869
395.507812	-70.663841
395.996094	-72.458366
396.484375	-70.220520
396.972656	-70.988243
397.460938	-69.582375
397.949219	-70.259338
398.437500	-71.997871
398.925781	-70.677383
399.414062	-68.974266
399.902344	-71.123550
400.390625	-72.584122
400.878906	-73.810181
401.367188	-69.639877
401.855469	-72.055931
402.343750	-73.962456
402.832031	-69.366844
403.320312	-69.157509
