Frequency (Hz)	Level (dB)
70.800781	-55.321198
71.044922	-59.091278
71.289062	-54.185040
71.533203	-55.324490
71.777344	-57.090012
72.021484	-53.221569
72.265625	-53.155811
72.509766	-54.349548
72.753906	-54.012875
72.998047	-57.430870
73.242188	-52.898045
73.486328	-53.303871
73.730469	-55.373795
73.974609	-51.269192
74.218750	-56.960728
74.462891	-51.813381
74.707031	-52.113708
74.951172	-51.703411
75.195312	-48.079311
75.439453	-50.158356
75.683594	-54.664635
75.927734	-52.099789
76.171875	-50.986580
76.416016	-59.127422
76.660156	-54.765869
76.904297	-55.458893
77.148438	-57.569317
77.392578	-52.406460
77.636719	-55.465191
77.880859	-50.021126
78.125000	-50.236019
78.369141	-51.839211
78.613281	-59.211617
78.857422	-55.878017
79.101562	-57.204887
79.345703	-53.593369
79.589844	-62.173878
79.833984	-53.891327
80.078125	-55.540691
80.322266	-52.102871
80.566406	-53.538818
80.810547	-53.084976
81.054688	-54.232544
81.298828	-55.156631
81.542969	-56.731407
81.787109	-57.287415
82.031250	-59.659122
82.275391	-54.595451
82.519531	-52.775978
82.763672	-51.363052
83.007812	-53.866543
83.251953	-53.229290
83.496094	-49.485813
83.740234	-51.250748
83.984375	-54.852104
84.228516	-49.842468
84.472656	-54.448483
84.716797	-53.734360
84.960938	-56.560429
85.205078	-50.614113
85.449219	-55.779499
85.693359	-55.146053
85.937500	-51.858814
86.181641	-56.564682
86.425781	-58.904152
86.669922	-52.293125
86.914062	-53.825909
87.158203	-51.374451
87.402344	-49.597153
87.646484	-49.276676
87.890625	-52.473877
88.134766	-52.558998
88.378906	-64.809998
88.623047	-53.570545
88.867188	-52.037033
89.111328	-54.987926
89.355469	-61.447182
89.599609	-50.704063
89.843750	-54.972878
90.087891	-56.589569
90.332031	-51.061966
90.576172	-57.909592
90.820312	-52.232231
91.064453	-55.675045
91.308594	-54.467571
91.552734	-64.816689
91.796875	-54.205418
92.041016	-57.922783
92.285156	-53.729736
92.529297	-56.782734
92.773438	-54.225014
93.017578	-52.148754
93.261719	-54.577366
93.505859	-53.134106
93.750000	-48.962799
93.994141	-53.387318
94.238281	-48.944374
94.482422	-51.631950
94.726562	-56.448689
94.970703	-57.782356
95.214844	-52.313774
95.458984	-59.279095
95.703125	-57.797356
95.947266	-48.892757
96.191406	-49.366333
96.435547	-55.255417
96.679688	-58.151436
96.923828	-52.399143
97.167969	-54.766102
97.412109	-58.420456
97.656250	-53.318016
97.900391	-52.212364
98.144531	-51.523041
98.388672	-50.260094
98.632812	-53.961895
98.876953	-51.441746
99.121094	-54.121319
99.365234	-53.200966
99.609375	-56.057323
99.853516	-56.506924
100.097656	-52.814743
100.341797	-52.470123
100.585938	-52.896603
100.830078	-53.598560
101.074219	-53.326687
101.318359	-52.294861
101.562500	-51.245991
101.806641	-54.632381
102.050781	-47.924049
102.294922	-54.893215
102.539062	-57.185951
102.783203	-52.538509
103.027344	-52.229431
103.271484	-53.485065
103.515625	-55.023125
103.759766	-50.570446
104.003906	-55.578846
104.248047	-53.418850
104.492188	-53.130119
104.736328	-50.907833
104.980469	-51.124340
105.224609	-55.158005
105.468750	-52.369953
105.712891	-55.723156
105.957031	-54.200741
106.201172	-52.600140
106.445312	-56.715992
106.689453	-49.684116
106.933594	-52.876900
107.177734	-56.877312
107.421875	-54.340141
107.666016	-57.574867
107.910156	-51.379490
108.154297	-54.849804
108.398438	-65.303200
108.642578	-58.247078
108.886719	-53.115482
109.130859	-51.316257
109.375000	-55.750839
109.619141	-48.893208
109.863281	-51.219250
110.107422	-51.158405
110.351562	-55.092453
110.595703	-50.340603
110.839844	-53.815033
111.083984	-51.617691
111.328125	-54.170448
111.572266	-55.750343
111.816406	-53.993122
112.060547	-56.825378
112.304688	-56.952023
112.548828	-53.485909
112.792969	-57.867611
113.037109	-51.788776
113.281250	-58.636433
113.525391	-59.005402
113.769531	-58.249992
114.013672	-53.084122
114.257812	-52.832203
114.501953	-51.098541
114.746094	-53.859562
114.990234	-51.072792
115.234375	-53.668407
115.478516	-56.627666
115.722656	-55.622364
115.966797	-54.134392
116.210938	-49.761288
116.455078	-54.545677
116.699219	-55.600433
116.943359	-51.824776
117.187500	-56.130013
117.431641	-52.774414
117.675781	-52.470158
117.919922	-54.002632
118.164062	-52.539944
118.408203	-50.229912
118.652344	-50.982082
118.896484	-49.499210
119.140625	-54.215462
119.384766	-52.078712
119.628906	-53.678574
119.873047	-52.929104
120.117188	-48.285797
120.361328	-55.578602
120.605469	-54.774536
120.849609	-54.286095
121.093750	-54.545967
121.337891	-53.051075
121.582031	-52.275227
121.826172	-50.475948
122.070312	-51.449730
122.314453	-53.421055
122.558594	-48.034199
122.802734	-56.005451
123.046875	-51.640244
123.291016	-54.804359
123.535156	-52.865471
123.779297	-54.091942
124.023438	-49.302322
124.267578	-55.160709
124.511719	-53.870377
124.755859	-50.978874
125.000000	-51.867889
125.244141	-51.986729
125.488281	-52.916607
125.732422	-60.236378
125.976562	-61.222919
126.220703	-50.495132
126.464844	-53.526978
126.708984	-62.819962
126.953125	-51.085789
127.197266	-55.291695
127.441406	-63.693485
127.685547	-50.968975
127.929688	-59.270397
128.173828	-60.977734
128.417969	-55.567646
128.662109	-56.766380
128.906250	-49.094475
129.150391	-49.447636
129.394531	-53.643681
129.638672	-53.448952
129.882812	-52.090870
130.126953	-54.570389
130.371094	-49.159481
130.615234	-49.081333
130.859375	-62.164841
131.103516	-53.137077
131.347656	-57.302544
131.591797	-49.689758
131.835938	-56.953468
132.080078	-55.857281
132.324219	-53.435631
132.568359	-53.546566
132.812500	-51.505905
133.056641	-55.664680
133.300781	-57.882694
133.544922	-51.024582
133.789062	-54.655884
134.033203	-56.577221
134.277344	-55.321167
134.521484	-55.269848
134.765625	-55.253174
135.009766	-53.825512
135.253906	-53.396622
135.498047	-52.460285
135.742188	-49.452663
135.986328	-56.960716
136.230469	-56.721725
136.474609	-56.609978
136.718750	-55.173889
136.962891	-58.384140
137.207031	-52.737858
137.451172	-57.185802
137.695312	-51.060863
137.939453	-51.088879
138.183594	-54.037868
138.427734	-49.623077
138.671875	-52.103706
138.916016	-53.139488
139.160156	-53.578194
139.404297	-50.628204
139.648438	-50.088963
139.892578	-48.686054
140.136719	-55.598644
140.380859	-54.812241
140.625000	-48.648331
140.869141	-48.356190
141.113281	-49.844154
141.357422	-54.915176
141.601562	-54.367676
141.845703	-53.097153
142.089844	-53.901623
142.333984	-49.467537
142.578125	-51.941013
142.822266	-53.838615
143.066406	-50.721031
143.310547	-51.298889
143.554688	-53.980904
143.798828	-51.940166
144.042969	-49.241863
144.287109	-52.784821
144.531250	-54.343426
144.775391	-49.799564
145.019531	-52.597935
145.263672	-54.564449
145.507812	-58.761433
145.751953	-51.129414
145.996094	-53.593437
146.240234	-57.569454
146.484375	-52.239506
146.728516	-49.757187
146.972656	-54.907665
147.216797	-52.522774
147.460938	-60.432541
147.705078	-51.355656
147.949219	-52.530121
148.193359	-52.136688
148.437500	-54.552040
148.681641	-51.983109
148.925781	-49.206818
149.169922	-50.641815
149.414062	-50.853916
149.658203	-54.187016
149.902344	-52.597481
150.146484	-52.971615
150.390625	-51.647476
150.634766	-57.303471
150.878906	-56.660522
151.123047	-56.752178
151.367188	-54.487549
151.611328	-59.862778
151.855469	-56.286869
152.099609	-49.330624
152.343750	-56.120132
152.587891	-59.578594
152.832031	-52.598061
153.076172	-55.515438
153.320312	-54.001858
153.564453	-53.120495
153.808594	-56.759747
154.052734	-56.340939
154.296875	-52.942764
154.541016	-53.328156
154.785156	-52.973278
155.029297	-53.471176
155.273438	-49.608440
155.517578	-60.712555
155.761719	-54.397686
156.005859	-52.419319
156.250000	-47.104317
156.494141	-51.355427
156.738281	-58.641178
156.982422	-51.912315
157.226562	-54.606903
157.470703	-53.256977
157.714844	-55.223721
157.958984	-54.738464
158.203125	-52.404171
158.447266	-53.763798
158.691406	-55.905739
158.935547	-57.350243
159.179688	-55.733444
159.423828	-54.765522
159.667969	-56.011978
159.912109	-56.602634
160.156250	-49.456070
160.400391	-52.249268
160.644531	-50.414829
160.888672	-55.469727
161.132812	-61.558632
161.376953	-55.412075
161.621094	-59.020561
161.865234	-48.953362
162.109375	-55.345886
162.353516	-51.090126
162.597656	-56.379902
162.841797	-54.285927
163.085938	-53.963169
163.330078	-55.253143
163.574219	-52.333485
163.818359	-53.328461
164.062500	-50.821762
164.306641	-52.888775
164.550781	-52.325321
164.794922	-51.313038
165.039062	-50.371880
165.283203	-53.554211
165.527344	-52.993450
165.771484	-55.216324
166.015625	-51.397419
166.259766	-52.155262
166.503906	-47.564632
166.748047	-50.160919
166.992188	-50.948563
167.236328	-49.117252
167.480469	-56.075760
167.724609	-50.509872
167.968750	-53.734562
168.212891	-52.995026
168.457031	-58.214584
168.701172	-52.536488
168.945312	-52.185452
169.189453	-53.475567
169.433594	-55.161446
169.677734	-52.088539
169.921875	-53.932926
170.166016	-58.404140
170.410156	-50.902954
170.654297	-52.914368
170.898438	-52.324242
171.142578	-53.853672
171.386719	-53.422653
171.630859	-57.444149
171.875000	-55.709164
172.119141	-55.402573
172.363281	-59.820499
172.607422	-58.800076
172.851562	-54.311295
173.095703	-55.215885
173.339844	-52.132694
173.583984	-52.588669
173.828125	-56.301807
174.072266	-54.463699
174.316406	-52.366329
174.560547	-51.963261
174.804688	-49.545803
175.048828	-52.067986
175.292969	-61.219074
175.537109	-54.501350
175.781250	-53.860893
176.025391	-52.446442
176.269531	-49.219681
176.513672	-58.846828
176.757812	-50.919689
177.001953	-54.247143
177.246094	-54.462532
177.490234	-55.721920
177.734375	-55.081200
177.978516	-50.538586
178.222656	-53.137486
178.466797	-58.173134
178.710938	-54.557751
178.955078	-56.092918
179.199219	-53.365807
179.443359	-52.657173
179.687500	-52.261101
179.931641	-52.385693
180.175781	-51.482365
180.419922	-56.029110
180.664062	-51.298283
180.908203	-54.157673
181.152344	-61.217499
181.396484	-54.358898
181.640625	-57.846672
181.884766	-51.169697
182.128906	-50.565090
182.373047	-53.322529
182.617188	-56.651375
182.861328	-54.904221
183.105469	-54.352688
183.349609	-57.682308
183.593750	-57.874016
183.837891	-54.887344
184.082031	-54.138607
184.326172	-52.148201
184.570312	-54.475761
184.814453	-55.946220
185.058594	-55.920609
185.302734	-54.342621
185.546875	-52.573177
185.791016	-51.377373
186.035156	-48.626522
186.279297	-51.965668
186.523438	-53.616867
186.767578	-55.676491
187.011719	-62.338467
187.255859	-56.285667
187.500000	-55.569702
187.744141	-60.233803
187.988281	-48.236961
188.232422	-54.572117
188.476562	-54.191071
188.720703	-49.960354
188.964844	-52.831131
189.208984	-59.170708
189.453125	-53.657436
189.697266	-56.813095
189.941406	-56.455757
190.185547	-56.102486
190.429688	-60.131100
190.673828	-56.208267
190.917969	-59.126865
191.162109	-49.396465
191.406250	-55.102001
191.650391	-56.870659
191.894531	-53.626163
192.138672	-49.414886
192.382812	-52.894417
192.626953	-56.934994
192.871094	-55.399090
193.115234	-52.646507
193.359375	-54.186356
193.603516	-53.886318
193.847656	-56.411194
194.091797	-52.192291
194.335938	-51.708015
194.580078	-52.755085
194.824219	-49.859497
195.068359	-50.238335
195.312500	-47.433037
195.556641	-49.303894
195.800781	-59.464977
196.044922	-54.579876
196.289062	-55.766991
196.533203	-58.934807
196.777344	-53.071533
197.021484	-56.284798
197.265625	-54.802994
197.509766	-59.869797
197.753906	-52.172642
197.998047	-52.990341
198.242188	-55.948048
198.486328	-60.246475
198.730469	-55.329926
198.974609	-58.892094
199.218750	-51.019886
199.462891	-49.607849
199.707031	-54.440926
199.951172	-56.789539
200.195312	-55.537582
200.439453	-50.360241
200.683594	-55.664074
200.927734	-49.660835
201.171875	-53.003094
201.416016	-57.798134
201.660156	-51.029289
201.904297	-58.937366
202.148438	-55.806889
202.392578	-54.395580
202.636719	-58.309280
202.880859	-49.846798
203.125000	-52.011848
203.369141	-54.095848
203.613281	-57.817898
203.857422	-61.715927
204.101562	-51.619900
204.345703	-57.972721
204.589844	-51.938282
204.833984	-57.977272
205.078125	-52.480488
205.322266	-50.749290
205.566406	-49.989861
205.810547	-56.781803
206.054688	-51.996407
206.298828	-48.594463
206.542969	-51.280712
206.787109	-50.765076
207.031250	-48.058098
207.275391	-54.450706
207.519531	-55.216740
207.763672	-55.035385
208.007812	-51.310116
208.251953	-52.350704
208.496094	-53.624569
208.740234	-52.803219
208.984375	-54.799015
209.228516	-51.732544
209.472656	-57.250908
209.716797	-56.226242
209.960938	-53.767399
210.205078	-56.358021
210.449219	-55.187199
210.693359	-53.973289
210.937500	-53.944733
211.181641	-58.463913
211.425781	-53.324696
211.669922	-52.032871
211.914062	-50.039295
212.158203	-50.507130
212.402344	-52.592884
212.646484	-51.479496
212.890625	-54.367260
213.134766	-57.550781
213.378906	-46.480469
213.623047	-50.705128
213.867188	-51.500240
214.111328	-58.428436
214.355469	-55.524731
214.599609	-54.286701
214.843750	-52.981888
215.087891	-58.294861
215.332031	-50.227665
215.576172	-51.654785
215.820312	-54.467434
216.064453	-56.399677
216.308594	-54.868671
216.552734	-56.985542
216.796875	-55.946136
217.041016	-49.257713
217.285156	-47.382282
217.529297	-47.935535
217.773438	-52.448242
218.017578	-53.393463
218.261719	-56.198509
218.505859	-55.180248
218.750000	-57.691418
218.994141	-52.109718
219.238281	-56.296844
219.482422	-49.940197
219.726562	-57.884727
219.970703	-55.659031
220.214844	-52.060349
220.458984	-50.988174
220.703125	-51.296360
220.947266	-56.787090
221.191406	-51.883457
221.435547	-53.751392
221.679688	-53.469078
221.923828	-52.852497
222.167969	-57.164604
222.412109	-56.171375
222.656250	-53.886414
222.900391	-53.922836
223.144531	-50.301270
223.388672	-53.915611
223.632812	-49.790272
223.876953	-55.467636
224.121094	-54.657677
224.365234	-53.002834
224.609375	-50.606281
224.853516	-52.523514
225.097656	-55.785351
225.341797	-53.992916
225.585938	-51.354527
225.830078	-55.780289
226.074219	-54.916153
226.318359	-53.343678
226.562500	-57.602352
226.806641	-56.039829
227.050781	-56.133980
227.294922	-57.492020
227.539062	-51.447330
227.783203	-51.983826
228.027344	-53.427856
228.271484	-55.446301
228.515625	-50.334827
228.759766	-50.425426
229.003906	-53.318672
229.248047	-55.266178
229.492188	-56.683659
229.736328	-51.303764
229.980469	-56.456650
230.224609	-51.624222
230.468750	-53.657833
230.712891	-55.154396
230.957031	-59.353062
231.201172	-53.061649
231.445312	-53.449654
231.689453	-55.339603
231.933594	-57.179443
232.177734	-60.750202
232.421875	-56.374870
232.666016	-60.974018
232.910156	-49.166702
233.154297	-54.194073
233.398438	-51.120396
233.642578	-49.894398
233.886719	-50.916080
234.130859	-51.283855
234.375000	-50.388439
234.619141	-56.200104
234.863281	-55.136124
235.107422	-51.190712
235.351562	-54.590767
235.595703	-51.614166
235.839844	-56.439133
236.083984	-51.821167
236.328125	-52.530987
236.572266	-54.736347
236.816406	-58.849709
237.060547	-52.122807
237.304688	-54.892849
237.548828	-58.632923
237.792969	-57.739548
238.037109	-58.737652
238.281250	-60.182518
238.525391	-56.469906
238.769531	-56.793526
239.013672	-53.515846
239.257812	-51.423351
239.501953	-51.534885
239.746094	-47.905594
239.990234	-58.598175
240.234375	-53.826618
240.478516	-53.390755
240.722656	-53.675869
240.966797	-52.563931
241.210938	-53.236084
241.455078	-58.117638
241.699219	-56.039986
241.943359	-54.499023
242.187500	-51.798210
242.431641	-53.682457
242.675781	-53.351776
242.919922	-52.842468
243.164062	-57.126125
243.408203	-55.660702
243.652344	-50.509075
243.896484	-52.716003
244.140625	-53.918476
244.384766	-53.798996
244.628906	-59.530449
244.873047	-51.617180
245.117188	-62.968960
245.361328	-52.540462
245.605469	-53.103962
245.849609	-54.849716
246.093750	-52.147835
246.337891	-49.404926
246.582031	-51.290127
246.826172	-55.208427
247.070312	-55.064335
247.314453	-53.685471
247.558594	-55.656925
247.802734	-56.184250
248.046875	-56.874413
248.291016	-52.962902
248.535156	-52.843132
248.779297	-48.424747
249.023438	-54.895226
249.267578	-56.298702
249.511719	-57.308960
249.755859	-54.839062
250.000000	-52.058495
250.244141	-52.756023
250.488281	-55.590958
250.732422	-50.323238
250.976562	-53.993271
251.220703	-54.970867
251.464844	-53.610588
251.708984	-49.067616
251.953125	-54.016235
252.197266	-52.872360
252.441406	-55.204456
252.685547	-52.111965
252.929688	-51.889874
253.173828	-56.902748
253.417969	-52.886513
253.662109	-47.582569
253.906250	-54.775051
254.150391	-57.976078
254.394531	-52.541245
254.638672	-52.213184
254.882812	-48.371708
255.126953	-49.446060
255.371094	-49.561604
255.615234	-51.265244
255.859375	-55.083035
256.103516	-49.136120
256.347656	-56.868458
256.591797	-50.785465
256.835938	-57.354156
257.080078	-53.338245
257.324219	-52.209728
257.568359	-53.170731
257.812500	-49.272846
258.056641	-56.631947
258.300781	-60.597588
258.544922	-52.780113
258.789062	-52.294914
259.033203	-55.985413
259.277344	-52.289326
259.521484	-57.049515
259.765625	-50.438026
260.009766	-52.604042
260.253906	-53.194187
260.498047	-56.387283
